★ M9 Bayonet | Scorched (Field-Tested)
★ Sport Gloves | Nocts (Well-Worn)
★ Talon Knife | Blue Steel (Minimal Wear)
★ Bayonet | Autotronic (Minimal Wear)
★ StatTrak™ Stiletto Knife | Slaughter (Minimal Wear)
★ M9 Bayonet | Boreal Forest (Minimal Wear)
★ StatTrak™ Stiletto Knife | Case Hardened (Factory New)
★ Skeleton Knife | Urban Masked (Factory New)
★ Bayonet | Stained (Factory New)
★ StatTrak™ Stiletto Knife | Slaughter (Field-Tested)
★ StatTrak™ M9 Bayonet | Urban Masked (Battle-Scarred)
★ M9 Bayonet | Safari Mesh (Minimal Wear)
